,0
756,1817
757,298
758,102
759,298
760,224
761,298
762,1310
763,298
764,199
765,296
766,287
767,296
768,160
769,294
770,229
771,292
772,255
773,292
774,153
775,292
776,122
777,292
778,1001
779,290
780,314
781,290
782,64
783,289
784,61
785,289
786,90
787,286
788,536
789,286
790,433
791,284
792,308
793,284
794,74
795,283
796,98
797,283
798,65
799,281
800,151
801,279
802,386
803,279
804,55
805,279
806,92
807,279
808,100
809,278
810,183
811,277
812,216
813,277
814,755
815,275
816,560
817,274
818,37
819,274
820,776
821,273
822,70
823,273
824,11980
825,273
826,100
827,272
828,265
829,272
830,87
831,271
832,100
833,271
834,69
835,271
836,229
837,270
838,100
839,270
840,113
841,269
842,72
843,269
844,54
845,269
846,953
847,268
848,211
849,268
850,137
851,268
852,292
853,266
854,128
855,265
856,30
857,265
858,81
859,263
860,275
861,262
862,1002
863,261
864,84
865,260
866,577
867,260
868,49
869,259
870,129
871,259
872,225
873,259
874,217
875,258
876,227
877,258
878,96
879,258
880,517
881,257
882,189
883,255
884,100
885,255
886,93
887,253
888,50
889,252
890,74
891,252
892,101
893,251
894,1051
895,250
896,286
897,250
898,230
899,249
900,108
901,249
902,85
903,247
904,126
905,247
906,239
907,247
908,3199
909,246
910,130
911,245
912,2119
913,245
914,184
915,245
916,717
917,244
918,396
919,244
920,35
921,242
922,132
923,241
924,35
925,239
926,122
927,239
928,210
929,239
930,130
931,239
932,82
933,239
934,1232
935,239
936,684
937,237
938,1449
939,237
940,625
941,237
942,141
943,237
944,403
945,237
946,120
947,236
948,596
949,235
950,111
951,233
952,52
953,233
954,142
955,233
956,52
957,231
958,160
959,231
960,21
961,231
962,679
963,230
964,560
965,229
966,309
967,229
968,16
969,229
970,377
971,229
972,100
973,228
974,179
975,228
976,112
977,227
978,270
979,227
980,104
981,227
982,232
983,227
984,714
985,225
986,125
987,224
988,96
989,223
990,16
991,221
992,94
993,220
994,11
995,220
996,475
997,219
998,20
999,219
1000,386
1001,219
1002,406
1003,219
1004,67
1005,217
1006,1260
1007,216
1008,206
1009,215
1010,100
1011,214
1012,103
1013,214
1014,231
1015,213
1016,27
1017,212
1018,89
1019,211
1020,207
1021,211
1022,2079
1023,210
1024,84
1025,210
1026,107
1027,210
1028,232
1029,209
1030,100
1031,209
1032,55
1033,207
1034,81
1035,207
1036,51
1037,207
1038,1391
1039,206
1040,404
1041,206
1042,266
1043,206
1044,149
1045,205
1046,100
1047,205
1048,425
1049,205
1050,191
1051,205
1052,277
1053,205
1054,53
